EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,35348,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19450-CE,NIFTY 28 AUG 19450 CALL,OP,NA,75,########,19450,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35349,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19450-PE,NIFTY 28 AUG 19450 PUT,OP,NA,75,########,19450,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35352,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2028-30000-CE,NIFTY 29 JUN 30000 CALL,OP,NA,75,########,30000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35353,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2028-30000-PE,NIFTY 29 JUN 30000 PUT,OP,NA,75,########,30000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35593,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-7000-CE,NIFTY 25 SEP 7000 CALL,OP,NA,75,########,7000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35596,NA,OPTIDX,26000,NIFTY,NIFTY-Sep2025-7000-PE,NIFTY 25 SEP 7000 PUT,OP,NA,75,########,7000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35603,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19850-CE,NIFTY 21 AUG 19850 CALL,OP,NA,75,########,19850,CE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,35607,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19850-PE,NIFTY 21 AUG 19850 PUT,OP,NA,75,########,19850,PE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36688,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-19500-CE,NIFTY 24 DEC 19500 CALL,OP,NA,75,########,19500,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37102,NA,OPTIDX,26000,NIFTY,NIFTY-Jul2025-30400-CE,NIFTY 31 JUL 30400 CALL,OP,NA,75,########,30400,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37116,NA,OPTIDX,26000,NIFTY,NIFTY-Jul2025-30400-PE,NIFTY 31 JUL 30400 PUT,OP,NA,75,########,30400,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37117,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-30400-CE,NIFTY 28 AUG 30400 CALL,OP,NA,75,########,30400,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37133,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-30400-PE,NIFTY 28 AUG 30400 PUT,OP,NA,75,########,30400,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37782,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-13000-CE,NIFTY 24 DEC 13000 CALL,OP,NA,75,########,13000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
